@RELATION spammer

@ATTRIBUTE url             NUMERIC
@ATTRIBUTE followperfriend NUMERIC
@ATTRIBUTE retweet         NUMERIC
@ATTRIBUTE follower        NUMERIC
@ATTRIBUTE friend          NUMERIC
@ATTRIBUTE hashtagpertweet NUMERIC
@ATTRIBUTE incfollower     NUMERIC
@ATTRIBUTE incfriend       NUMERIC
@ATTRIBUTE class           {spammer, non-spammer}

@DATA
0.000000,1.191609,767,15678,13157,0.119647,15650.000000,13030.000000,spammer
0.020151,1.172906,397,658,561,0.046599,633.000000,503.000000,spammer
0.500000,0.883422,77,1652,1870,0.206667,1650.000000,1866.000000,spammer
0.131336,1.218837,916,880,722,0.410138,176.000000,228.000000,spammer
0.161954,1.275510,81,875,686,0.133676,-168.000000,-664.000000,spammer
0.866667,0.891892,37,759,851,0.257576,602.000000,795.000000,spammer
0.027919,1.723647,152,1815,1053,0.068528,1700.000000,939.000000,spammer
0.063452,0.433786,481,511,1178,0.010152,340.000000,927.000000,spammer
0.829457,0.884573,8,797,901,0.503876,746.000000,731.000000,spammer
0.994924,1.150327,28,528,459,0.522843,524.000000,455.000000,spammer
0.550761,1.666667,51,410,246,0.007614,365.000000,216.000000,spammer
0.067358,1.048485,947,692,660,0.186528,677.000000,645.000000,spammer
0.114504,1.671924,1369,530,317,0.234097,276.000000,200.000000,spammer
0.364557,23.161005,47,34093,1472,0.050633,-1189.000000,-35617.000000,spammer
0.997462,0.873555,0,2494,2855,0.000000,525.000000,717.000000,spammer
0.678451,1.062299,2947,1654,1557,0.346801,885.000000,831.000000,spammer
0.043147,0.595628,456,109,183,0.390863,97.000000,179.000000,spammer
0.982234,1.117547,1,3299,2952,0.000000,108.000000,-567.000000,spammer
0.796954,1.318471,18,414,314,0.007614,404.000000,314.000000,spammer
0.601523,0.699864,28,1026,1466,0.144670,188.000000,-8.000000,spammer
0.220812,1.225000,91,490,400,0.101523,452.000000,352.000000,spammer
0.087629,1.265403,953,1068,844,0.365979,-347.000000,-1163.000000,spammer
0.236041,0.657588,317,169,257,0.098985,90.000000,225.000000,spammer
0.020151,0.837079,769,894,1068,0.076826,869.000000,1048.000000,spammer
0.040609,1.014286,129,142,140,0.121827,-533.000000,-46.000000,spammer
0.931472,0.554884,34,1102,1986,0.187817,1064.000000,1953.000000,spammer
1.000000,1.920988,3,778,405,0.586294,215.000000,-216.000000,spammer
0.076142,1.043038,118,412,395,0.050761,364.000000,333.000000,spammer
0.578125,0.644231,154,335,520,0.359375,303.000000,502.000000,spammer
0.210660,1.074153,388,507,472,0.296954,461.000000,461.000000,spammer
0.989848,0.918693,13,4723,5141,0.010152,4598.000000,5026.000000,spammer
0.816327,0.470130,746,905,1925,0.086735,889.000000,1908.000000,spammer
0.171913,0.399259,1037,539,1350,0.283293,344.000000,959.000000,spammer
0.303571,0.471986,477,278,589,0.056122,246.000000,569.000000,spammer
0.186869,0.607993,231,715,1176,0.068182,316.000000,369.000000,spammer
0.346734,0.638418,2,1017,1593,0.000000,-190.000000,-11.000000,spammer
0.088832,1.320197,23,268,203,0.083756,255.000000,180.000000,spammer
0.834951,0.827692,347,269,325,0.436893,177.000000,232.000000,spammer
0.098315,0.538500,15,1077,2000,0.025281,1075.000000,1998.000000,spammer
0.386473,0.916545,465,626,683,0.057971,496.000000,589.000000,spammer
0.510204,0.654301,1,1217,1860,0.000000,-203.000000,-42.000000,spammer
0.913486,0.380917,26,507,1331,0.007634,501.000000,1330.000000,spammer
0.379227,0.783151,1500,502,641,0.183575,25.000000,39.000000,spammer
0.109137,1.889952,128,395,209,0.045685,394.000000,204.000000,spammer
0.302030,0.915916,50,1220,1332,0.258883,1054.000000,1101.000000,spammer
0.591837,1.554767,110,3066,1972,0.285714,1350.000000,-45.000000,spammer
0.078680,1.015119,360,470,463,0.131980,455.000000,459.000000,spammer
0.977157,1.024504,13,3721,3632,0.007614,1963.000000,2056.000000,spammer
0.831797,1.353801,257,1389,1026,0.006912,1180.000000,961.000000,spammer
0.984772,0.931005,0,10849,11653,0.370558,10532.000000,11368.000000,spammer
1.000000,0.867554,0,4821,5557,0.000000,4818.000000,5537.000000,spammer
0.641058,0.693000,318,1386,2000,0.113350,1138.000000,1842.000000,spammer
0.317259,0.279412,19,228,816,0.299492,212.000000,803.000000,spammer
0.769912,0.556196,0,965,1735,0.000000,-84.000000,-139.000000,spammer
0.160305,0.629513,2309,401,637,0.139949,178.000000,520.000000,spammer
0.329949,0.727772,1479,1457,2002,0.446701,1442.000000,1985.000000,spammer
0.616751,1.967489,27,3268,1661,0.007614,439.000000,-1032.000000,spammer
0.682692,0.922147,5,3281,3558,0.000000,518.000000,793.000000,spammer
0.256345,0.786517,1,630,801,0.002538,6.000000,-30.000000,spammer
0.239241,0.736283,659,1248,1695,0.281013,866.000000,1204.000000,spammer
0.127226,0.194915,644,69,354,0.183206,38.000000,347.000000,spammer
0.436548,0.481715,29,382,793,0.017766,230.000000,541.000000,spammer
0.452381,0.600868,46,277,461,0.202381,262.000000,436.000000,spammer
0.205298,1.363492,4,859,630,0.894040,854.000000,610.000000,spammer
0.860406,2.020433,131,1681,832,0.025381,1431.000000,749.000000,spammer
0.673077,0.450683,6,891,1977,0.346154,883.000000,1971.000000,spammer
0.295775,3.547692,0,2306,650,0.302817,812.000000,-35.000000,spammer
0.007246,1.038560,34,404,389,0.089372,398.000000,369.000000,spammer
0.666667,0.768082,0,977,1272,0.000000,904.000000,1179.000000,spammer
0.840102,3.748614,71,2028,541,0.081218,897.000000,13.000000,spammer
0.241117,0.459398,1460,611,1330,0.119289,596.000000,1325.000000,spammer
0.818402,0.946657,495,2733,2887,0.246973,1009.000000,1278.000000,spammer
